Word_Count,Section_Count,Has_Links,Skill_Count,ATS_Score
905,3,1,25,100.0
946,2,1,14,80.9
648,2,1,21,95.9
533,2,1,25,99.3
764,4,0,21,99.6
229,3,1,21,87.8
818,3,1,4,71.9
164,4,0,3,64.8
353,5,0,23,96.0
731,6,0,20,99.9
519,7,1,23,100.0
576,2,0,12,78.7
821,5,0,13,87.1
517,4,1,19,95.3
167,2,0,22,82.4
658,7,0,13,90.8
250,3,0,6,58.2
940,7,1,24,100.0
229,6,1,24,99.1
329,2,0,19,77.2
417,3,1,12,84.1
868,5,1,12,85.2
815,4,0,24,95.5
802,6,1,5,84.4
656,2,1,25,100.0
224,5,1,25,100.0
870,7,0,7,82.3
247,5,1,5,72.1
943,5,1,18,99.8
941,3,0,23,97.6
361,2,1,5,62.3
447,6,1,10,86.0
896,4,0,11,76.6
395,3,1,22,94.7
772,3,0,10,71.6
867,6,0,15,96.1
309,7,1,11,84.1
153,4,0,14,80.4
360,2,1,19,85.2
660,5,0,3,73.7
444,5,1,6,75.7
171,4,1,7,67.6
595,7,0,3,74.2
624,3,0,22,90.0
456,4,0,14,85.0
954,3,1,12,82.7
730,3,0,4,66.9
365,3,1,14,82.2
388,5,1,22,100.0
404,7,1,14,94.4
432,6,0,13,83.2
685,4,0,4,68.3
184,6,1,14,91.3
262,4,1,15,85.6
391,2,1,9,77.0
577,3,1,21,93.7
720,3,0,10,75.2
753,3,1,24,97.5
200,5,1,15,88.4
372,2,1,19,90.6
814,7,1,15,98.5
749,5,0,23,100.0
909,6,0,20,100.0
379,4,0,8,72.6
232,3,0,16,74.1
882,3,0,6,72.4
810,4,0,25,100.0
271,4,1,3,64.1
888,2,1,25,97.1
222,4,0,7,62.0
426,4,1,18,95.1
692,7,0,8,88.4
484,2,0,9,67.5
782,3,0,22,95.2
434,7,1,8,82.1
375,7,0,14,93.5
630,6,0,11,82.5
987,2,1,14,87.9
375,3,0,21,92.1
784,3,0,21,93.6
658,4,1,4,74.1
517,5,1,16,96.9
904,6,1,9,89.1
175,2,1,10,71.3
887,2,1,16,87.8
987,5,1,13,88.0
714,7,1,6,84.0
751,5,0,16,93.6
295,7,1,22,100.0
682,7,1,16,100.0
978,5,1,13,92.4
874,3,1,16,88.1
290,7,0,17,92.2
916,4,0,16,91.5
176,4,0,17,84.0
575,3,1,23,98.8
538,7,0,20,100.0
761,6,1,5,84.5
275,6,0,4,71.0
688,5,0,7,80.1
691,2,0,20,85.8
486,5,0,21,96.9
440,5,1,8,82.4
995,2,0,18,86.4
969,5,1,17,93.6
572,5,1,25,100.0
327,6,0,8,74.3
498,3,0,25,93.0
930,2,1,12,80.0
171,6,0,22,94.2
912,6,1,9,89.6
697,3,0,19,92.8
470,7,0,17,94.2
480,6,0,17,95.8
315,6,1,11,87.0
296,3,1,13,79.2
196,3,0,13,71.5
865,3,0,10,80.9
416,4,0,3,60.4
615,4,0,24,100.0
789,6,1,22,100.0
549,2,1,5,67.0
670,2,1,4,68.3
891,2,0,7,71.2
438,7,1,16,96.3
448,5,1,13,91.8
456,2,0,4,64.3
567,3,0,14,79.6
512,7,0,6,82.5
940,5,1,6,81.4
457,5,1,17,94.0
716,5,1,14,93.9
705,5,0,11,83.6
999,5,0,8,80.3
511,7,0,13,92.0
344,2,1,15,77.9
256,6,1,14,92.2
957,6,0,21,100.0
930,7,1,10,94.1
386,2,0,4,57.7
562,3,0,15,84.6
288,2,0,7,58.3
444,3,1,18,92.9
964,5,0,20,92.4
346,7,1,18,100.0
697,5,1,14,89.4
536,7,1,16,100.0
240,3,0,15,79.8
753,6,0,15,89.0
928,2,1,4,68.4
193,3,1,18,82.3
881,5,1,18,94.5
723,5,1,14,95.4
191,6,1,23,98.8
162,5,0,5,67.2
341,6,0,24,100.0
511,3,0,17,84.7
728,2,0,4,64.2
372,7,0,20,97.4
455,3,0,4,68.4
828,5,0,14,88.0
465,7,0,19,100.0
869,7,0,23,100.0
813,4,0,22,99.6
356,5,0,19,94.5
575,2,0,15,78.0
953,2,1,15,90.0
567,4,0,24,98.3
554,4,1,10,79.1
508,5,0,4,67.2
642,6,0,10,89.2
196,6,1,9,77.0
762,3,1,11,79.7
274,6,1,22,98.6
923,6,1,18,100.0
838,6,0,21,100.0
842,6,1,6,84.4
654,3,0,24,95.0
882,4,0,20,90.4
892,7,1,20,100.0
762,2,0,11,77.6
667,5,0,4,69.6
174,6,1,25,100.0
498,2,0,19,85.8
164,3,0,8,66.2
890,5,1,21,100.0
736,3,0,17,82.8
820,4,1,20,96.9
200,7,1,6,83.6
736,3,1,14,90.2
930,3,1,21,100.0
396,3,1,13,78.8
275,7,1,23,100.0
243,5,1,21,91.8
741,4,1,12,86.0
843,5,1,4,75.3
904,2,0,18,88.8
956,3,1,14,84.2
184,4,0,6,69.6
459,3,1,13,84.7
628,5,1,24,100.0
396,2,0,23,89.7
792,5,1,12,91.0
428,4,1,21,100.0
335,2,1,12,79.7
956,3,0,9,73.6
791,5,1,19,99.2
363,5,0,13,79.2
473,5,0,19,94.8
426,5,0,4,73.3
373,5,1,6,72.0
331,7,0,20,93.1
485,7,1,7,88.2
447,5,1,19,100.0
887,4,0,21,100.0
806,6,0,15,92.9
837,7,0,16,99.6
599,7,1,20,100.0
654,7,0,25,100.0
590,7,1,4,82.3
272,2,0,25,90.1
953,3,1,5,76.3
753,2,0,19,89.3
701,4,0,25,100.0
725,2,1,4,69.8
648,2,1,20,89.9
362,2,1,3,65.1
310,2,0,16,78.9
930,6,1,15,100.0
327,2,0,15,72.2
418,2,0,9,64.7
200,6,1,22,100.0
375,4,1,19,97.4
901,2,0,12,78.8
729,2,1,12,76.1
188,4,0,10,72.5
899,6,0,16,93.9
634,7,1,14,96.5
210,2,1,17,79.8
996,5,1,24,100.0
257,2,0,11,70.8
342,3,1,10,71.4
217,6,0,20,87.9
886,2,1,22,99.0
158,6,1,6,70.2
894,6,1,3,81.7
966,4,0,18,89.6
280,5,1,10,79.1
919,6,0,16,92.6
876,6,1,25,100.0
438,7,1,9,87.9
655,2,1,9,79.1
334,5,0,21,92.9
811,2,0,17,79.3
491,6,0,6,75.3
571,6,0,8,78.9
542,3,0,10,74.5
534,6,0,17,96.6
236,7,1,11,82.7
349,3,0,3,57.7
758,4,0,21,92.4
230,6,1,17,95.2
927,5,1,10,89.3
687,2,1,5,65.9
976,3,0,22,97.4
622,4,0,15,86.2
532,2,0,3,60.3
603,7,1,23,100.0
696,2,1,20,90.7
965,5,0,18,95.4
877,4,0,8,78.8
952,3,1,24,100.0
354,5,1,10,83.9
572,7,1,23,100.0
815,3,0,7,75.8
711,5,0,20,92.7
269,6,0,5,65.9
249,7,1,4,73.0
980,7,0,19,100.0
802,5,1,15,98.7
154,5,1,3,70.5
596,3,0,10,74.8
317,7,0,17,92.1
306,7,1,11,86.6
615,2,0,14,79.2
500,2,1,20,91.5
659,6,0,24,100.0
188,2,1,15,75.8
248,5,1,19,92.1
563,6,0,20,100.0
285,4,1,21,96.5
560,3,0,3,64.9
652,5,0,13,84.8
698,5,0,3,66.8
645,4,0,4,72.4
877,4,0,4,69.8
594,6,0,11,84.8
456,4,0,13,76.7
250,7,1,11,85.9
577,4,1,21,100.0
278,7,0,24,99.0
613,2,0,19,88.7
764,2,1,15,89.9
431,6,1,19,100.0
355,2,1,16,81.9
628,4,1,21,95.7
716,2,1,6,70.1
906,5,1,20,100.0
564,2,0,9,69.7
890,3,1,17,92.9
528,6,1,18,97.5
934,7,0,14,93.2
446,7,0,4,75.6
563,5,1,13,92.2
701,6,1,8,91.9
170,4,0,20,89.0
282,3,1,21,92.5
456,5,0,9,75.5
768,3,1,15,88.1
338,6,0,13,84.3
550,6,0,7,79.6
680,7,0,11,85.8
843,5,1,5,75.3
336,2,0,7,65.2
959,5,0,25,100.0
199,3,1,4,59.0
856,3,1,17,93.6
455,5,1,23,100.0
345,2,1,6,70.8
907,3,0,11,73.1
511,7,0,12,86.9
336,7,0,24,100.0
636,2,0,7,69.8
197,3,0,14,75.2
835,2,1,3,64.7
961,7,1,6,84.8
901,4,1,8,80.3
913,3,1,5,71.2
604,7,0,24,100.0
579,7,0,5,75.9
756,5,0,14,89.0
427,4,0,4,63.2
437,2,1,3,68.7
482,7,1,12,96.0
866,6,1,15,93.0
349,6,1,21,100.0
864,4,1,25,100.0
948,2,0,12,71.9
629,2,1,7,78.2
376,7,0,13,87.9
933,4,1,5,76.8
531,7,1,13,99.9
346,4,0,21,90.9
166,2,0,9,63.7
287,7,0,17,93.5
483,3,1,5,74.0
567,7,0,20,100.0
732,3,0,13,76.4
289,7,0,8,74.5
286,7,1,3,80.2
647,5,0,7,82.3
420,4,0,11,77.2
703,4,0,9,81.7
578,3,1,22,100.0
659,2,0,23,96.2
533,2,0,3,56.7
735,5,0,14,86.2
168,7,0,10,81.7
345,3,0,18,81.7
556,7,0,5,80.6
272,7,0,20,92.0
877,3,1,9,78.9
219,5,1,5,69.2
355,2,0,6,61.2
860,4,0,18,93.1
873,5,0,20,100.0
553,4,1,22,97.2
527,7,0,7,78.0
886,7,1,17,100.0
698,7,0,21,100.0
524,2,1,5,67.3
201,2,1,7,63.5
991,7,1,18,100.0
292,3,1,11,74.7
371,6,0,19,97.7
817,4,0,4,66.9
971,6,0,19,100.0
345,7,0,11,81.1
661,6,1,12,90.4
245,6,0,9,75.7
618,6,1,8,85.4
885,4,1,20,96.6
896,5,0,21,100.0
424,2,0,19,83.5
578,6,0,16,97.1
247,6,1,15,91.3
665,7,0,16,98.6
152,4,0,24,94.2
731,2,0,22,89.3
939,5,1,6,76.3
400,3,1,16,87.7
487,4,1,17,89.9
314,4,0,14,79.5
779,3,0,22,93.4
739,5,1,25,100.0
308,3,0,24,87.6
422,7,1,6,80.4
843,7,0,17,98.1
353,5,1,16,92.5
635,5,0,16,91.5
503,5,0,3,66.2
763,7,1,3,82.7
693,5,1,7,79.3
944,2,0,22,86.3
552,6,1,14,90.4
170,4,1,25,100.0
914,7,1,9,94.3
307,5,0,21,93.1
457,7,0,20,100.0
723,5,1,13,94.6
802,2,0,16,85.8
500,5,1,8,79.9
317,6,1,11,81.2
785,3,0,12,83.8
311,6,1,6,82.0
988,7,1,6,87.3
602,2,1,5,65.8
636,7,0,8,89.9
910,7,1,23,100.0
992,3,0,7,70.1
909,6,0,20,98.8
539,4,1,18,98.0
895,5,1,23,100.0
664,2,0,16,82.1
720,7,0,12,94.5
790,3,0,18,87.4
211,6,0,19,91.7
769,5,0,21,94.0
761,7,0,6,77.9
369,3,0,12,69.9
337,2,1,22,90.9
808,6,0,19,97.5
724,7,0,4,76.4
984,7,0,8,80.2
551,7,0,21,100.0
856,5,0,12,83.0
791,7,1,5,88.2
156,5,0,11,74.0
935,3,0,12,78.2
684,2,0,11,72.3
664,3,0,21,91.6
261,3,1,25,94.2
424,4,1,10,79.0
389,6,1,13,89.6
724,6,1,14,91.2
211,6,0,23,92.2
1000,6,1,18,100.0
591,6,0,12,91.4
483,7,0,14,91.4
401,2,0,17,82.3
411,7,1,15,95.7
825,7,1,21,100.0
702,6,1,25,100.0
750,2,0,14,74.5
604,6,0,9,86.0
240,3,1,14,82.3
434,6,1,9,83.6
588,7,1,18,100.0
613,6,1,11,88.9
546,2,1,12,78.5
484,7,1,10,93.0
616,6,1,24,100.0
765,5,0,12,80.4
883,7,0,8,85.8
379,3,1,18,91.5
470,5,1,17,95.9
500,3,1,12,78.0
819,6,1,20,100.0
646,4,1,20,100.0
992,7,0,23,100.0
600,2,0,15,75.6
692,7,0,9,88.4
543,5,0,11,83.4
650,4,0,20,96.5
747,2,1,7,70.7
469,4,1,24,100.0
550,5,1,19,96.4
290,4,1,11,80.0
243,4,1,3,69.7
314,4,0,17,86.8
209,2,0,5,54.7
935,4,0,25,97.8
640,7,1,12,96.2
318,7,0,8,82.9
403,4,0,12,76.0
516,7,0,9,86.5
824,3,1,9,84.4
452,4,1,4,74.4
353,7,1,16,93.3
951,6,1,6,86.5
442,6,0,7,77.8
501,2,0,10,72.1
154,2,1,23,89.6
202,5,0,12,77.7
667,4,1,14,92.5
877,7,1,18,100.0
960,7,0,23,100.0
657,5,1,19,99.6
415,7,0,10,81.1
282,2,1,11,76.7
328,6,1,4,71.6
853,4,1,25,100.0
459,7,0,13,90.6
674,2,0,25,98.9
358,4,0,10,74.3
319,2,1,12,77.8
809,3,0,13,84.1
613,6,0,19,99.3
748,5,1,5,83.1
704,3,1,3,67.9
773,7,1,14,100.0
176,5,1,19,94.0
423,2,0,14,71.3
214,4,1,15,88.5
682,2,1,21,93.3
225,7,0,5,77.4
936,7,0,22,100.0
851,2,0,18,88.5
222,4,1,24,94.2
197,5,1,20,91.0
190,7,1,5,74.8
697,7,0,6,83.7
449,3,0,24,95.1
229,4,0,24,92.5
759,6,0,21,98.2
567,2,1,4,69.2
762,5,0,23,100.0
713,7,0,19,100.0
870,6,0,20,99.5
583,4,1,16,94.3
710,2,0,21,92.2
460,7,1,21,100.0
219,5,0,12,77.9
570,4,0,4,71.0
913,5,1,11,84.9
201,2,0,3,56.0
673,2,0,13,78.3
182,7,1,18,96.1
219,5,1,22,100.0
807,4,0,9,77.5
150,4,0,19,86.2
683,5,1,15,98.1
251,5,1,16,85.9
173,4,1,14,79.9
220,2,0,13,69.3
774,7,0,5,82.9
778,3,0,15,82.7
372,6,0,19,95.4
520,5,1,23,100.0
302,4,1,20,97.2
422,3,0,20,82.8
202,3,0,20,80.1
519,4,1,8,77.8
384,6,0,24,99.4
853,3,1,16,89.7
405,3,0,18,88.1
604,5,0,3,69.0
469,6,1,4,80.8
178,5,1,10,75.6
382,4,0,23,97.5
330,2,0,23,84.0
987,5,0,18,97.5
358,6,0,24,99.3
915,3,1,14,84.6
776,7,1,18,100.0
615,6,1,21,100.0
537,5,1,24,100.0
312,3,1,15,81.2
989,6,0,20,96.3
793,6,1,15,98.2
348,6,0,16,84.9
902,2,0,22,89.6
269,7,0,3,75.8
170,2,0,16,75.9
817,7,0,23,100.0
225,3,0,25,88.9
821,4,0,4,74.8
756,2,0,6,70.9
807,4,0,9,75.5
269,6,0,12,80.4
525,5,0,24,96.9
632,6,1,8,86.5
229,7,1,5,80.2
564,3,0,16,83.9
803,7,1,13,100.0
661,6,1,24,100.0
840,5,1,16,99.7
396,3,1,20,88.8
521,4,1,15,94.1
994,2,0,9,73.0
715,7,0,22,100.0
372,2,0,16,74.8
854,4,1,7,81.8
360,4,0,24,95.3
815,2,1,22,100.0
274,2,0,8,62.1
973,4,0,6,74.8
910,5,0,10,78.4
255,2,1,23,95.1
612,7,0,24,100.0
467,6,0,6,73.5
760,3,0,10,77.3
357,6,1,20,96.6
994,2,0,3,60.3
670,7,1,18,100.0
360,2,1,17,85.0
838,2,1,23,100.0
875,4,0,15,82.2
577,7,0,11,90.7
763,6,1,6,87.1
752,6,0,11,84.2
816,7,0,11,86.2
946,2,1,17,92.2
689,5,0,19,97.0
198,7,0,15,87.7
343,2,0,21,88.7
680,2,1,8,74.4
731,3,1,9,81.7
484,5,0,5,74.4
258,4,0,3,57.7
952,4,0,3,73.0
162,3,0,16,77.9
836,4,0,6,68.1
302,2,0,15,71.3
946,3,0,5,72.4
474,6,0,13,83.9
357,4,0,6,68.8
505,7,1,8,92.1
289,6,1,3,76.4
235,7,0,10,79.2
292,6,1,20,100.0
899,4,0,22,97.1
399,4,1,21,97.4
204,4,1,21,90.9
926,6,0,22,100.0
653,2,0,8,71.5
675,7,0,19,97.0
762,2,1,4,71.4
884,2,1,8,77.2
560,4,0,3,63.3
413,2,1,14,80.6
529,7,0,8,81.2
844,7,1,12,100.0
527,4,1,11,87.4
656,7,1,12,95.8
681,6,0,14,89.4
669,4,1,21,100.0
666,3,1,4,71.5
516,5,0,4,71.2
719,7,0,11,89.4
860,5,0,7,78.7
256,5,1,25,100.0
720,4,1,25,100.0
850,6,1,14,98.7
887,3,1,22,100.0
361,7,1,17,100.0
202,2,1,12,74.1
471,2,1,24,95.3
370,4,1,15,88.4
836,2,0,8,65.7
836,4,0,9,80.5
365,6,1,12,86.7
176,4,1,9,74.5
308,5,1,16,93.4
664,7,0,18,100.0
684,7,0,7,87.1
990,6,1,15,100.0
277,4,1,17,92.1
710,6,1,7,84.2
618,3,0,7,67.4
447,6,1,17,100.0
163,3,0,15,73.3
464,7,1,7,81.2
627,5,0,21,98.3
640,5,1,19,100.0
414,5,0,21,96.1
583,6,0,8,78.1
513,3,0,4,67.4
882,3,1,5,70.1
529,4,0,16,85.5
899,3,1,23,100.0
738,4,1,24,100.0
212,4,1,21,89.7
684,5,0,21,100.0
569,7,0,4,78.6
297,2,0,24,85.5
849,6,1,18,100.0
482,3,0,18,81.8
286,2,1,14,74.3
954,4,0,22,100.0
774,7,0,22,100.0
959,4,0,14,89.1
464,5,0,11,79.0
465,3,1,10,75.8
946,3,0,4,68.4
816,3,1,17,90.9
296,3,1,17,81.1
673,2,0,14,78.7
682,7,0,12,89.8
744,7,0,8,88.4
174,4,1,21,93.6
201,6,0,21,92.4
181,5,0,18,81.9
523,3,1,4,66.8
565,5,1,17,93.5
178,4,0,20,84.0
748,5,0,21,98.9
527,4,1,24,100.0
194,5,1,25,99.2
594,4,1,18,100.0
434,5,1,7,82.6
901,5,1,10,84.4
815,7,1,20,100.0
761,3,0,22,90.6
793,2,1,10,75.4
661,2,0,12,78.2
716,2,1,12,77.4
972,5,1,15,92.0
269,7,0,13,86.1
830,7,0,9,85.6
862,4,1,6,76.4
412,4,0,10,74.1
436,5,0,19,94.9
971,4,0,24,100.0
274,3,0,3,63.6
959,2,0,17,83.7
492,5,0,16,85.1
478,3,0,15,80.0
272,5,0,18,83.8
211,7,0,4,69.6
622,6,1,18,100.0
633,5,1,3,75.2
458,6,1,12,87.8
411,6,1,10,89.9
451,4,1,18,94.0
979,7,0,23,100.0
836,2,1,3,69.7
381,5,1,24,100.0
640,7,0,3,72.5
199,7,0,18,92.6
448,6,1,13,96.2
870,6,0,4,79.4
977,3,1,9,84.0
581,3,0,17,83.5
543,2,0,3,65.1
191,3,1,25,93.8
324,2,1,15,81.4
802,2,1,17,91.3
372,7,1,11,90.3
385,4,0,15,81.3
635,6,0,17,97.4
1000,2,1,6,74.4
720,3,1,23,97.0
907,3,1,23,100.0
651,5,1,9,86.0
561,4,0,4,68.3
782,5,0,18,89.5
491,5,1,16,94.0
850,3,1,7,77.4
553,3,1,24,100.0
688,4,1,25,100.0
534,5,1,22,100.0
327,6,0,8,79.2
663,2,1,5,73.3
926,3,0,8,74.7
984,2,1,9,76.7
962,2,0,14,74.5
696,3,0,23,99.3
371,6,0,16,89.3
831,2,1,6,70.4
947,5,1,11,87.0
669,3,1,13,83.5
919,7,0,18,100.0
878,2,0,13,79.3
999,4,0,11,78.2
407,5,1,6,77.2
659,6,0,24,100.0
578,4,1,4,78.7
929,7,0,20,99.9
155,4,1,11,80.4
766,2,0,17,83.7
245,3,1,12,76.3
480,7,0,3,73.1
264,7,1,8,79.3
800,5,0,14,88.3
456,2,1,15,79.8
674,6,1,19,98.8
230,2,0,14,74.5
792,7,1,18,100.0
229,2,0,20,80.7
628,3,1,17,90.8
275,4,1,12,84.8
821,5,1,21,100.0
340,7,1,6,78.7
850,7,0,4,74.4
187,3,0,12,72.1
297,7,0,24,100.0
624,6,0,16,98.9
202,4,0,8,72.9
959,6,1,23,100.0
402,3,1,23,94.2
634,6,1,18,100.0
952,4,0,8,72.7
327,2,1,11,71.0
920,3,0,16,87.1
621,5,0,24,99.3
926,7,0,11,91.5
212,3,1,12,79.6
735,2,0,10,70.2
151,5,0,24,89.6
552,4,1,12,86.3
634,6,0,13,89.1
959,5,1,22,100.0
704,4,0,17,91.3
687,4,0,9,74.2
156,6,0,13,79.8
877,7,1,25,100.0
918,4,0,16,91.8
289,3,1,23,93.8
391,6,0,10,81.0
965,3,1,12,86.1
496,7,0,14,96.4
760,5,1,13,87.5
602,4,0,4,74.9
732,5,0,15,89.5
917,3,0,10,78.5
918,2,0,7,67.2
431,4,1,5,75.7
678,7,0,15,97.4
627,3,0,7,71.5
732,4,0,8,75.6
207,7,1,24,100.0
891,2,0,16,84.4
768,5,0,7,82.5
754,5,0,4,69.3
261,5,1,22,99.5
242,3,1,13,79.4
514,5,0,22,93.3
581,5,1,3,73.2
620,5,0,19,94.9
527,6,0,18,99.1
444,4,1,15,83.6
873,5,1,21,100.0
478,6,0,16,95.9
528,3,1,19,89.0
191,7,0,20,92.9
388,4,1,14,90.2
938,7,0,20,98.4
774,3,0,14,77.5
636,5,0,10,84.5
631,5,1,23,100.0
153,5,1,10,73.2
650,2,1,20,97.1
716,3,1,9,81.2
244,2,0,3,54.3
402,5,0,19,96.3
500,3,0,12,75.1
520,2,0,4,62.2
956,3,0,5,63.7
594,5,1,11,83.7
680,6,1,14,96.1
426,6,0,3,68.1
916,3,1,5,74.5
942,4,1,6,82.9
588,4,1,14,86.5
541,3,1,15,90.1
392,2,0,11,74.1
881,3,1,11,87.3
883,2,0,9,69.6
836,6,0,22,100.0
455,3,0,16,80.1
226,7,0,15,86.6
188,2,0,7,61.0
863,5,1,18,100.0
630,2,1,4,71.2
284,4,0,14,76.3
800,3,0,19,86.5
315,3,1,17,83.3
274,2,1,7,71.8
172,6,0,17,88.4
780,2,0,23,94.1
397,7,0,15,95.4
592,2,0,18,80.0
989,3,1,15,89.6
900,4,1,25,100.0
591,4,1,6,77.5
191,2,0,15,71.0
337,7,1,17,95.5
182,7,0,23,100.0
822,5,1,7,79.0
330,4,0,10,74.9
542,6,0,14,89.3
590,2,1,13,85.1
850,3,0,22,94.8
923,2,1,14,80.2
351,4,1,13,86.6
418,7,1,19,99.0
944,3,1,5,77.6
336,3,1,24,97.3
923,3,1,9,79.8
997,2,0,12,76.1
936,3,1,19,96.3
184,3,1,3,63.7
661,5,1,5,77.1
747,6,0,24,100.0
513,3,0,3,65.7
862,4,0,16,83.6
903,2,1,18,87.7
310,7,1,3,74.9
371,3,0,15,79.3
681,5,1,24,100.0
989,3,0,17,87.4
738,6,0,13,90.7
