Role,Skills,Category,AverageSalary,Location,DemandLevel
AI Researcher,"Terraform,Bash,Machine Learning,MacOS,Express.js",IT/Software,₹34 LPA,London,Medium
Digital Marketer,"Terraform,NoSQL,Computer Vision,Scikit,Python,Windows,Penetration Testing,Angular",IT/Software,₹39 LPA,Bangalore,Very High
Business Analyst,"Kubernetes,TypeScript,Jira,AWS,Go,HTML,Vue.js",HR,₹10 LPA,New York,Low
Legal Advisor,"Agile,Natural Language Processing,Ansible,Cybersecurity,Google Cloud,SQL,Docker,Redis",IT/Software,₹24 LPA,Delhi NCR,Low
Marketing Specialist,"Scikit,Express.js,Tableau,Kubernetes,Ruby on Rails,Data Analysis,Python",Finance,₹31 LPA,Mumbai,High
IT Support Specialist,"Sketch,Natural Language Processing,Angular,Vue.js,Kanban,AWS",Data Science,₹40 LPA,Hyderabad,Very High
Legal Advisor,"Confluence,Machine Learning,Node.js,Java,Scikit",Finance,₹6 LPA,Bangalore,Low
Video Editor,"Git,TypeScript,Natural Language Processing",Business,₹18 LPA,San Francisco,Medium
SEO Specialist,"Excel,Deep Learning,Figma,ASP.NET,Scrum,Cryptography,Bash",Marketing,₹33 LPA,San Francisco,Medium
Scrum Master,"Linux,C++,Natural Language Processing,Tableau",HR,₹13 LPA,Bangalore,High
Data Analyst,"Penetration Testing,MacOS,Django,GitHub,Bitbucket,Solidity,Scrum",Design,₹43 LPA,Remote,Very High
Cloud Architect,"Elasticsearch,UI Design,ASP.NET,Bash",Finance,₹40 LPA,Remote,High
Backend Developer,"Java,CSS,React,NumPy,Spring Boot,Confluence",Marketing,₹8 LPA,Remote,Very High
AI Researcher,"Deep Learning,Swift,Docker,Agile,Figma",Marketing,₹4 LPA,Delhi NCR,Very High
Full Stack Developer,"Jenkins,Angular,Agile,Git,Excel,AWS,Go",Design,₹26 LPA,San Francisco,High
Security Analyst,"PowerShell,React,Figma,Kubernetes,Scikit,Git",Finance,₹38 LPA,Chennai,Medium
DevOps Engineer,"MySQL,PowerShell,Windows,Jenkins,Swift,HTML",Finance,₹41 LPA,Hyderabad,Low
Business Analyst,"Windows,Machine Learning,Bitbucket,Google Cloud,Bash,Python,MongoDB,TypeScript",Data Science,₹45 LPA,Mumbai,Low
Marketing Specialist,"Agile,Flask,Bitbucket,TypeScript,PostgreSQL,Azure,MacOS",Marketing,₹21 LPA,Remote,Very High
Data Analyst,"Bash,Ruby,Natural Language Processing,Adobe XD,GitHub,Network Security,ASP.NET,Linux",IT/Software,₹11 LPA,New York,High
IT Support Specialist,"Linux,Bash,C++,Kubernetes,PowerShell,Windows,PostgreSQL,Solidity",IT/Software,₹34 LPA,Bangalore,Very High
HR Manager,"MySQL,Angular,Flask,Ansible",Finance,₹12 LPA,San Francisco,Low
Business Analyst,"Pandas,Redis,Go,Excel,PowerShell,Spring Boot,Java,Windows",HR,₹40 LPA,New York,Low
UI/UX Designer,"C#,Excel,NumPy,Azure,Kubernetes,Kotlin",HR,₹33 LPA,Remote,Very High
Legal Advisor,"PHP,Smart Contracts,Bash",Design,₹38 LPA,Remote,Low
Content Creator,"Linux,Computer Vision,C#,NumPy",IT/Software,₹41 LPA,Delhi NCR,Medium
Game Developer,"Elasticsearch,Kotlin,Django,Java,PHP,Terraform",Design,₹19 LPA,Remote,High
Machine Learning Engineer,"Elasticsearch,Tableau,C++,Excel,Smart Contracts,React",Data Science,₹32 LPA,Chennai,Medium
Technical Writer,"NumPy,Bitbucket,Blockchain",Operations,₹33 LPA,San Francisco,Very High
Frontend Developer,"Computer Vision,TypeScript,Data Visualization,Spring Boot,Network Security,Vue.js,Windows",HR,₹41 LPA,San Francisco,Medium
DevOps Engineer,"Bash,UI Design,Natural Language Processing,Smart Contracts,PyTorch,Express.js,Linux",Marketing,₹41 LPA,Chennai,High
Cloud Architect,"Bash,Vue.js,Ruby on Rails,Power BI,SQL,UX Design",Finance,₹10 LPA,Remote,High
Graphic Designer,"Solidity,Kubernetes,Docker,ASP.NET",Design,₹15 LPA,Remote,Low
System Administrator,"Node.js,Figma,Terraform,ASP.NET,Photoshop,Penetration Testing,Elasticsearch,Express.js",Data Science,₹6 LPA,Bangalore,Low
Product Manager,"TypeScript,Vue.js,Network Security,Illustrator,Blockchain,Scikit,PyTorch",Operations,₹42 LPA,London,High
Security Analyst,"Data Visualization,TensorFlow,Spring Boot",HR,₹13 LPA,Pune,High
Database Administrator,"Node.js,C#,Blockchain,Rust,AWS",Marketing,₹30 LPA,Delhi NCR,High
Digital Marketer,"Spring Boot,Windows,Express.js,Tableau,Python,Kanban,Java",Data Science,₹37 LPA,Bangalore,Low
Graphic Designer,"Data Analysis,Ruby,SQL,NoSQL",Finance,₹30 LPA,San Francisco,Medium
Video Editor,"Network Security,Excel,Figma,SQL,Blockchain,Git,UI Design",IT/Software,₹39 LPA,Remote,Low
Software Engineer,"Sketch,MongoDB,Natural Language Processing,MacOS,Redis,SQL",Data Science,₹19 LPA,Hyderabad,Low
Site Reliability Engineer,"Azure,Blockchain,Google Cloud,PowerShell,PHP,Illustrator",Marketing,₹42 LPA,London,High
Network Engineer,"Linux,Data Visualization,PowerShell,C#,MongoDB,UX Design,Illustrator",IT/Software,₹16 LPA,Remote,Very High
Full Stack Developer,"Figma,Data Analysis,TensorFlow,GitHub,Kotlin",Finance,₹28 LPA,Bangalore,Very High
Sales Executive,"Machine Learning,Flask,Spring Boot,Git",Marketing,₹11 LPA,Delhi NCR,Low
Data Engineer,"Kanban,Ansible,Cybersecurity,Tableau,Computer Vision,GitLab",IT/Software,₹18 LPA,Bangalore,Very High
IT Support Specialist,"Swift,Machine Learning,Photoshop,UI Design,UX Design",Business,₹31 LPA,Delhi NCR,Very High
Operations Manager,"Natural Language Processing,HTML,Adobe XD",IT/Software,₹27 LPA,Mumbai,Very High
Business Analyst,"ASP.NET,NumPy,Python,React,Excel",Design,₹45 LPA,Hyderabad,Low
Sales Executive,"Ansible,Bitbucket,Elasticsearch,Swift,MongoDB,Bash,PostgreSQL",Business,₹12 LPA,San Francisco,High
Network Engineer,"Swift,Ethereum,Redis,ASP.NET",Marketing,₹18 LPA,Pune,Low
SEO Specialist,"Scrum,Docker,Git,Agile,Kubernetes,Swift,Vue.js,Deep Learning",Business,₹26 LPA,London,High
Business Analyst,"Sketch,Ruby on Rails,Kotlin,PHP",Design,₹22 LPA,Remote,High
Product Manager,"PHP,Scikit,Jenkins,Data Visualization,C++",Marketing,₹17 LPA,Mumbai,High
Business Analyst,"GitHub,JavaScript,Express.js,Machine Learning,Rust,NoSQL,CSS,PyTorch",IT/Software,₹15 LPA,Hyderabad,High
HR Manager,"Sketch,Solidity,NoSQL,PostgreSQL,Azure,Git",HR,₹17 LPA,Mumbai,Low
Technical Writer,"Solidity,Photoshop,Windows,Ethereum,TypeScript,Sketch,Illustrator",HR,₹33 LPA,Mumbai,Medium
Security Analyst,"Photoshop,C++,Solidity",HR,₹41 LPA,Remote,Very High
Data Engineer,"Excel,Linux,Penetration Testing,Node.js,Kotlin,Sketch,Ethereum",Data Science,₹20 LPA,Chennai,Low
Technical Writer,"Swift,Spring Boot,Photoshop",IT/Software,₹18 LPA,Chennai,Low
Network Engineer,"NoSQL,Rust,Jira,Adobe XD,SQL",Operations,₹39 LPA,Pune,Very High
IT Support Specialist,"ASP.NET,MongoDB,Spring Boot,Jira,MacOS,Azure",Data Science,₹13 LPA,Chennai,Low
Accountant,"Bitbucket,Natural Language Processing,Deep Learning,Kanban,Express.js,Flask,Angular,Windows",Operations,₹43 LPA,New York,Medium
Blockchain Developer,"Elasticsearch,Docker,Solidity,TypeScript,Ruby on Rails,Swift",Design,₹38 LPA,Mumbai,Low
Technical Writer,"Flask,Adobe XD,Spring Boot,C++,Google Cloud",Marketing,₹23 LPA,Remote,Very High
Technical Recruiter,"GitLab,Penetration Testing,Python,NoSQL",Design,₹27 LPA,Chennai,High
Game Developer,"Excel,SQL,PyTorch,Go,Rust,Kotlin,NoSQL",Finance,₹12 LPA,Chennai,Low
Business Analyst,"Vue.js,Data Analysis,MacOS,Django,Figma",IT/Software,₹44 LPA,London,Very High
QA Engineer,"Flask,Figma,Django,Swift,Cybersecurity,Python,C++",Design,₹9 LPA,Delhi NCR,Medium
Customer Success Manager,"Confluence,Express.js,ASP.NET,Node.js,Figma",HR,₹43 LPA,San Francisco,Low
Blockchain Developer,"UI Design,Smart Contracts,Ruby,Redis,Data Visualization,Django,Scikit,Java",Marketing,₹40 LPA,Bangalore,Medium
Backend Developer,"Go,PHP,Vue.js,UX Design,Scrum,UI Design,Express.js",IT/Software,₹9 LPA,Chennai,Low
Video Editor,"Swift,Python,Bitbucket,Solidity,AWS,Terraform",Design,₹36 LPA,Remote,Medium
Software Engineer,"Cybersecurity,MongoDB,Spring Boot,Angular,NumPy",HR,₹23 LPA,New York,Medium
Product Manager,"Django,Data Analysis,Ethereum,React,Azure,Data Visualization,Express.js",Finance,₹21 LPA,Delhi NCR,Very High
Network Engineer,"Kubernetes,GitHub,Ruby,Power BI,NumPy",Business,₹35 LPA,San Francisco,Very High
Video Editor,"Ruby on Rails,Scrum,Git,Node.js,Sketch,Deep Learning",Design,₹15 LPA,San Francisco,High
AI Researcher,"UX Design,ASP.NET,TensorFlow,Flask,Ethereum,Cryptography,PostgreSQL,GitLab",IT/Software,₹16 LPA,Remote,Low
Operations Manager,"Ansible,Data Visualization,PostgreSQL,Natural Language Processing,Scikit,Smart Contracts,Computer Vision",Business,₹22 LPA,New York,Very High
Database Administrator,"Data Analysis,Swift,PowerShell,TensorFlow,Confluence,Git",HR,₹20 LPA,Pune,Medium
DevOps Engineer,"React,Cryptography,HTML,TypeScript,Express.js,Smart Contracts",Marketing,₹41 LPA,Pune,Medium
Game Developer,"Adobe XD,MySQL,Windows,Sketch,Jira",Business,₹40 LPA,San Francisco,Very High
Blockchain Developer,"Excel,Java,PyTorch,Adobe XD,CSS,Express.js,JavaScript",Design,₹30 LPA,London,High
Cloud Architect,"Natural Language Processing,Ruby on Rails,AWS,React,PyTorch",Data Science,₹38 LPA,London,Medium
Software Engineer,"UI Design,Adobe XD,Illustrator,Ethereum,Spring Boot,Java,Solidity,MacOS",IT/Software,₹37 LPA,Hyderabad,Very High
System Administrator,"Solidity,Excel,Docker,Cybersecurity,Computer Vision,Cryptography,Java,PowerShell",Marketing,₹45 LPA,Mumbai,Medium
HR Manager,"JavaScript,Penetration Testing,Tableau,HTML,PowerShell,Ansible,MongoDB",Finance,₹27 LPA,Bangalore,Very High
Customer Success Manager,"SQL,Linux,Redis,Kubernetes,Data Analysis,Java",HR,₹14 LPA,London,High
Product Manager,"Kotlin,MacOS,Illustrator,PowerShell,Bash,Terraform,Bitbucket",Operations,₹45 LPA,San Francisco,Medium
QA Engineer,"Adobe XD,Natural Language Processing,Terraform,Data Visualization,Kotlin",Finance,₹30 LPA,Delhi NCR,Very High
Mobile App Developer,"UX Design,Scikit,Kanban,Cybersecurity,Cryptography,Vue.js",Business,₹23 LPA,Chennai,Medium
Graphic Designer,"Sketch,Computer Vision,Vue.js,HTML,Adobe XD",HR,₹28 LPA,Delhi NCR,Very High
Data Scientist,"TensorFlow,UX Design,Express.js,Node.js,Computer Vision",Design,₹28 LPA,Hyderabad,Medium
Video Editor,"Spring Boot,SQL,React,Linux,Angular,Windows,Azure",IT/Software,₹6 LPA,Chennai,High
IT Support Specialist,"Redis,Adobe XD,Scikit,Agile,Java,Photoshop,Jenkins",HR,₹28 LPA,Remote,Medium
System Administrator,"HTML,Deep Learning,Scikit,Spring Boot,Kotlin",Marketing,₹32 LPA,Delhi NCR,Very High
HR Manager,"Java,Swift,Scikit,React,Penetration Testing",Operations,₹42 LPA,Delhi NCR,Low
Customer Success Manager,"MacOS,ASP.NET,HTML,Windows,Go,Ruby,Linux,Pandas",HR,₹17 LPA,New York,Low
Financial Analyst,"Flask,Ruby on Rails,PyTorch,SQL,NoSQL,Agile,Terraform",HR,₹45 LPA,London,High
Digital Marketer,"Natural Language Processing,Confluence,Java,Sketch,Redis,UI Design,Photoshop",HR,₹45 LPA,New York,Medium
IT Support Specialist,"Excel,Elasticsearch,Rust,TensorFlow,Node.js,Cybersecurity",HR,₹17 LPA,New York,High
Data Scientist,"Sketch,MacOS,Scrum,Go,SQL,Redis,Linux",Data Science,₹5 LPA,Mumbai,Medium
Cloud Architect,"Flask,MacOS,Angular",Design,₹8 LPA,Chennai,High
Video Editor,"Blockchain,GitHub,Smart Contracts",Operations,₹16 LPA,San Francisco,High
Legal Advisor,"Data Visualization,TensorFlow,Jira,Kotlin,Computer Vision,Ruby,Python",IT/Software,₹35 LPA,Bangalore,Low
Customer Success Manager,"Google Cloud,NumPy,Bitbucket,Scrum,Jira,Figma",IT/Software,₹13 LPA,Bangalore,Very High
Business Analyst,"Vue.js,Sketch,Windows",Data Science,₹6 LPA,Chennai,Very High
Technical Writer,"UX Design,Swift,Illustrator,Penetration Testing,Jenkins,Azure,Angular",Design,₹25 LPA,Remote,Medium
IT Support Specialist,"Rust,Agile,Pandas,Swift",HR,₹38 LPA,Remote,Low
Accountant,"Ruby on Rails,Jenkins,Terraform,Elasticsearch,JavaScript,Solidity,Redis,Illustrator",Operations,₹16 LPA,Bangalore,Very High
Graphic Designer,"GitLab,Cryptography,Illustrator,Django",Finance,₹7 LPA,Remote,High
Video Editor,"Go,Ruby on Rails,Bitbucket,C++,Computer Vision,Angular",Data Science,₹19 LPA,New York,Low
UI/UX Designer,"Solidity,Sketch,Power BI,Deep Learning",HR,₹44 LPA,San Francisco,Very High
Business Analyst,"PostgreSQL,Python,Scrum,HTML,Spring Boot,UX Design",Operations,₹10 LPA,Mumbai,High
Cloud Architect,"Rust,JavaScript,Cybersecurity,Spring Boot,Agile,ASP.NET,C++",Data Science,₹22 LPA,Bangalore,High
Machine Learning Engineer,"HTML,Ruby,Kanban,GitHub,Vue.js",IT/Software,₹44 LPA,Hyderabad,Very High
Graphic Designer,"Network Security,PHP,Spring Boot,Ethereum,Git",IT/Software,₹15 LPA,New York,Medium
Content Creator,"Redis,Sketch,AWS,Angular,Figma",Operations,₹24 LPA,Bangalore,Medium
Video Editor,"Scikit,Kanban,Solidity,Data Visualization,C++,Windows,Jira,Sketch",HR,₹11 LPA,London,High
Cloud Architect,"Angular,C#,Ruby,Adobe XD,Confluence,GitLab,PHP,Express.js",Operations,₹10 LPA,New York,High
Marketing Specialist,"Kotlin,Angular,Deep Learning,Vue.js",IT/Software,₹36 LPA,Delhi NCR,High
Video Editor,"MySQL,Windows,C#,Deep Learning,GitHub",IT/Software,₹7 LPA,New York,High
Business Analyst,"Vue.js,Power BI,Machine Learning,Network Security,C#,C++,Angular,Elasticsearch",IT/Software,₹19 LPA,Pune,Medium
Frontend Developer,"Cybersecurity,Illustrator,Rust,Express.js,PostgreSQL",IT/Software,₹36 LPA,Pune,High
Graphic Designer,"GitHub,TypeScript,Swift",IT/Software,₹21 LPA,London,Medium
Cloud Architect,"C++,Node.js,Java,Vue.js,Bitbucket,GitLab,HTML,Tableau",Business,₹41 LPA,New York,Low
System Administrator,"Data Analysis,Agile,Terraform,UX Design,Angular,PostgreSQL,Kanban",IT/Software,₹4 LPA,Delhi NCR,High
Scrum Master,"Docker,React,Excel,Power BI,Jenkins,Scikit,Photoshop",Design,₹24 LPA,Pune,High
UI/UX Designer,"MacOS,Penetration Testing,Express.js,Flask,Jira",Operations,₹16 LPA,Remote,Medium
System Administrator,"Bash,UX Design,HTML,TypeScript,MacOS,Deep Learning,Tableau",Finance,₹32 LPA,San Francisco,Low
QA Engineer,"Ruby on Rails,Rust,Node.js,Java,AWS,Git",HR,₹9 LPA,Mumbai,Very High
Customer Success Manager,"AWS,UI Design,Figma,Spring Boot,NumPy",Data Science,₹8 LPA,Delhi NCR,Very High
Data Analyst,"Blockchain,JavaScript,Vue.js",IT/Software,₹30 LPA,Bangalore,Very High
Content Creator,"GitHub,Spring Boot,NumPy",Data Science,₹25 LPA,London,Low
SEO Specialist,"Jira,NumPy,Spring Boot,Swift",Data Science,₹18 LPA,Mumbai,Medium
DevOps Engineer,"Sketch,Django,Power BI,Redis,Ethereum,NumPy,Excel,Node.js",Design,₹26 LPA,Chennai,Very High
Blockchain Developer,"Azure,PyTorch,Vue.js,Confluence",Data Science,₹29 LPA,San Francisco,Very High
Full Stack Developer,"Cybersecurity,MySQL,Ruby,MongoDB,Swift,TensorFlow,Ethereum,Kanban",Operations,₹21 LPA,Pune,High
SEO Specialist,"NumPy,Windows,UI Design,Ethereum,TypeScript,Elasticsearch,Rust,PyTorch",IT/Software,₹6 LPA,New York,Very High
Cloud Architect,"Bash,MongoDB,MacOS,Illustrator,Data Visualization,Network Security,NoSQL,Rust",Operations,₹43 LPA,New York,Very High
Security Analyst,"Django,Bash,Python,Kubernetes,Go",Design,₹9 LPA,Remote,Low
Cloud Architect,"Rust,Go,Sketch,HTML",IT/Software,₹34 LPA,Pune,Medium
Site Reliability Engineer,"Ethereum,Machine Learning,UI Design",Marketing,₹21 LPA,London,High
Network Engineer,"UI Design,Flask,C#,Deep Learning,Google Cloud",Data Science,₹21 LPA,Delhi NCR,Very High
Cloud Architect,"Ruby on Rails,Kotlin,Penetration Testing,CSS,Windows",Marketing,₹27 LPA,Chennai,Medium
Cloud Architect,"MacOS,Sketch,Git",HR,₹17 LPA,Delhi NCR,Low
IT Support Specialist,"GitLab,Confluence,Java,NumPy,TypeScript,Azure",HR,₹19 LPA,Remote,High
Operations Manager,"Jira,Ethereum,Elasticsearch,Blockchain",Finance,₹16 LPA,Remote,High
Technical Writer,"Smart Contracts,Blockchain,Pandas,Express.js,Illustrator,React,Confluence,TensorFlow",Finance,₹39 LPA,New York,Medium
AI Researcher,"Data Analysis,Linux,Java,Scrum",Data Science,₹20 LPA,Chennai,Very High
Legal Advisor,"GitHub,Bitbucket,Deep Learning,Excel,Machine Learning,Data Analysis,Scrum",Data Science,₹20 LPA,London,Low
Frontend Developer,"Tableau,Django,Data Visualization",Marketing,₹7 LPA,Mumbai,Low
Graphic Designer,"Vue.js,MySQL,Jira",Operations,₹31 LPA,Delhi NCR,High
System Administrator,"NoSQL,Kotlin,Scikit,Illustrator,Kanban,GitHub,Angular",Finance,₹13 LPA,Remote,Medium
Technical Recruiter,"CSS,Network Security,MongoDB,Angular,Spring Boot,PyTorch",Design,₹25 LPA,Remote,High
Customer Success Manager,"Blockchain,Confluence,Docker,Penetration Testing,Java,TypeScript",Finance,₹11 LPA,San Francisco,High
Graphic Designer,"Go,Java,Python,Network Security,Swift,Illustrator,TensorFlow",Operations,₹18 LPA,San Francisco,Medium
UI/UX Designer,"JavaScript,PowerShell,Smart Contracts,Ethereum,Network Security,C#,SQL,TypeScript",Finance,₹16 LPA,New York,Very High
Technical Writer,"AWS,Docker,Redis",Finance,₹21 LPA,Bangalore,Very High
Backend Developer,"GitHub,Illustrator,Bitbucket,PostgreSQL",Marketing,₹26 LPA,San Francisco,Very High
Mobile App Developer,"Pandas,Data Analysis,Java,Bash,C#",Operations,₹17 LPA,San Francisco,Low
Operations Manager,"Scikit,Solidity,Confluence,Django,Spring Boot",Data Science,₹45 LPA,Hyderabad,Medium
SEO Specialist,"Azure,Agile,Express.js,TypeScript",Business,₹32 LPA,Mumbai,Medium
UI/UX Designer,"SQL,CSS,Photoshop,Git",HR,₹9 LPA,Hyderabad,Medium
Technical Writer,"GitLab,Deep Learning,Redis,Scikit,Kanban",Business,₹25 LPA,New York,Low
Marketing Specialist,"Figma,Rust,Kubernetes,Docker,Machine Learning,HTML,TensorFlow,Terraform",IT/Software,₹22 LPA,Pune,Medium
Sales Executive,"Data Analysis,PyTorch,Git,Cryptography",HR,₹9 LPA,Remote,Very High
Customer Success Manager,"Scikit,Deep Learning,Ruby on Rails,Computer Vision,Machine Learning,Agile,Natural Language Processing",HR,₹22 LPA,Mumbai,Low
Database Administrator,"Jenkins,TypeScript,Elasticsearch,NoSQL,Node.js,Spring Boot,Vue.js,React",Finance,₹29 LPA,Pune,Very High
Content Creator,"React,Cybersecurity,Photoshop,Python,Vue.js,Ethereum,NoSQL",Business,₹20 LPA,Remote,Medium
Site Reliability Engineer,"C#,Linux,Ethereum,PHP,Ruby on Rails",Operations,₹6 LPA,San Francisco,High
HR Manager,"HTML,PHP,Excel,Ruby,AWS,Go,Confluence,Scrum",Business,₹16 LPA,Pune,Low
Security Analyst,"Kanban,Cryptography,Cybersecurity,CSS",Design,₹5 LPA,San Francisco,High
Content Creator,"Data Visualization,Vue.js,NumPy,PostgreSQL,Bash,Computer Vision",IT/Software,₹12 LPA,Mumbai,Low
Backend Developer,"Deep Learning,Adobe XD,Illustrator",Design,₹38 LPA,London,High
Accountant,"Tableau,Terraform,Sketch,PyTorch",HR,₹22 LPA,Remote,Medium
Customer Success Manager,"Flask,PHP,Terraform,Docker,Confluence,PowerShell,C++",Marketing,₹6 LPA,Remote,Medium
Customer Success Manager,"Jira,UX Design,Smart Contracts,Cryptography,Sketch",Finance,₹22 LPA,Pune,Very High
Sales Executive,"MongoDB,GitLab,Node.js,Power BI",IT/Software,₹8 LPA,Delhi NCR,Medium
Sales Executive,"JavaScript,Swift,HTML,Illustrator",HR,₹21 LPA,Hyderabad,High
Scrum Master,"NumPy,Sketch,PowerShell,Jira,Power BI",Operations,₹35 LPA,Bangalore,Very High
Video Editor,"C++,Data Analysis,Windows,Solidity,Elasticsearch",Operations,₹13 LPA,New York,High
Software Engineer,"Scrum,Linux,Spring Boot",Finance,₹40 LPA,New York,Very High
Data Analyst,"Scikit,Figma,Sketch",Business,₹20 LPA,Mumbai,Low
Full Stack Developer,"Excel,Figma,Ansible,GitHub,Spring Boot,UX Design,JavaScript",Operations,₹15 LPA,Delhi NCR,Low
Accountant,"Figma,Django,C#",Data Science,₹33 LPA,Remote,Medium
Video Editor,"Data Analysis,Kanban,Swift,Power BI,Cybersecurity,Ethereum,PyTorch,Rust",Design,₹11 LPA,Delhi NCR,Medium
Site Reliability Engineer,"TensorFlow,Terraform,Ethereum,Rust",Design,₹29 LPA,San Francisco,Very High
Site Reliability Engineer,"Deep Learning,C++,Ruby on Rails",Finance,₹6 LPA,Hyderabad,Low
Technical Writer,"UX Design,Confluence,Git,Bitbucket,Ruby on Rails,NumPy,Rust",Data Science,₹15 LPA,Bangalore,Low
DevOps Engineer,"Sketch,Kotlin,Java",HR,₹28 LPA,London,Medium
AI Researcher,"Data Visualization,Illustrator,Agile,Java,C++,Cybersecurity,MacOS",Business,₹40 LPA,Delhi NCR,High
Product Manager,"C++,MongoDB,ASP.NET,React,Adobe XD,Penetration Testing",Data Science,₹31 LPA,London,High
SEO Specialist,"Jenkins,Kanban,Swift,ASP.NET,UX Design,React,Adobe XD,JavaScript",Design,₹7 LPA,Chennai,High
Business Analyst,"Go,Jira,Elasticsearch,Python,ASP.NET,Figma",Marketing,₹38 LPA,London,Very High
Technical Writer,"Adobe XD,Kotlin,Kubernetes,Kanban,UX Design,Spring Boot",Marketing,₹23 LPA,Bangalore,Medium
Backend Developer,"Scikit,Git,PostgreSQL,Google Cloud,Python,Azure,NoSQL",Operations,₹26 LPA,Pune,Very High
Financial Analyst,"Bitbucket,Spring Boot,Data Analysis,Ruby",Business,₹11 LPA,London,Low
Graphic Designer,"PyTorch,Vue.js,Kanban,Tableau",IT/Software,₹7 LPA,Chennai,Very High
DevOps Engineer,"Machine Learning,Terraform,Bitbucket",Finance,₹16 LPA,New York,Medium
Full Stack Developer,"Smart Contracts,Cryptography,Elasticsearch",IT/Software,₹28 LPA,Delhi NCR,High
Content Creator,"Cryptography,UX Design,Swift",Business,₹34 LPA,London,Very High
Financial Analyst,"GitLab,GitHub,Cybersecurity,Sketch,Terraform,Machine Learning,SQL,C++",HR,₹37 LPA,Chennai,Medium
Scrum Master,"Blockchain,Network Security,Machine Learning,GitHub,Node.js,Go",HR,₹31 LPA,New York,Very High
SEO Specialist,"Sketch,Bitbucket,Python,CSS,AWS,Data Analysis,JavaScript",Operations,₹40 LPA,Mumbai,Very High
Data Analyst,"Azure,Deep Learning,SQL,Express.js,Blockchain,Figma,Bash",Operations,₹14 LPA,London,Very High
Content Creator,"Jira,TypeScript,Solidity,Git,Adobe XD,Bitbucket,React",Operations,₹7 LPA,Pune,High
Mobile App Developer,"JavaScript,C#,Swift",Data Science,₹20 LPA,San Francisco,Medium
Operations Manager,"Kanban,JavaScript,Jira,Kubernetes,AWS",HR,₹41 LPA,London,Very High
