Role,Skill,Roadmap_Steps
Video Editor,React,"[""Week 1: Introduction to React Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in React"", ""Week 3: Advanced React Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using React""]"
QA Engineer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Backend Developer,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
Blockchain Developer,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Data Scientist,Kotlin,"[""Week 1: Introduction to Kotlin Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kotlin"", ""Week 3: Advanced Kotlin Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kotlin""]"
Marketing Specialist,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Data Engineer,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
Software Engineer,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
Marketing Specialist,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
Marketing Specialist,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
Graphic Designer,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Marketing Specialist,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
Scrum Master,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
Backend Developer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
Video Editor,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
Customer Success Manager,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
IT Support Specialist,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Data Analyst,Elasticsearch,"[""Week 1: Introduction to Elasticsearch Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Elasticsearch"", ""Week 3: Advanced Elasticsearch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Elasticsearch""]"
Customer Success Manager,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Graphic Designer,Photoshop,"[""Week 1: Introduction to Photoshop Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Photoshop"", ""Week 3: Advanced Photoshop Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Photoshop""]"
Mobile App Developer,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
UI/UX Designer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
Scrum Master,React,"[""Week 1: Introduction to React Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in React"", ""Week 3: Advanced React Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using React""]"
Customer Success Manager,Spring Boot,"[""Week 1: Introduction to Spring Boot Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Spring Boot"", ""Week 3: Advanced Spring Boot Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Spring Boot""]"
Software Engineer,UX Design,"[""Week 1: Introduction to UX Design Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UX Design"", ""Week 3: Advanced UX Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UX Design""]"
Machine Learning Engineer,C#,"[""Week 1: Introduction to C# Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C#"", ""Week 3: Advanced C# Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C#""]"
UI/UX Designer,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
IT Support Specialist,CSS,"[""Week 1: Introduction to CSS Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in CSS"", ""Week 3: Advanced CSS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using CSS""]"
Scrum Master,Ethereum,"[""Week 1: Introduction to Ethereum Fundamentals & Setup for Scrum Master"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ethereum"", ""Week 3: Advanced Ethereum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ethereum""]"
Accountant,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Product Manager,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for Product Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Graphic Designer,Confluence,"[""Week 1: Introduction to Confluence Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Confluence"", ""Week 3: Advanced Confluence Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Confluence""]"
Content Creator,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
Digital Marketer,Computer Vision,"[""Week 1: Introduction to Computer Vision Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Computer Vision"", ""Week 3: Advanced Computer Vision Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Computer Vision""]"
Frontend Developer,Scrum,"[""Week 1: Introduction to Scrum Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scrum"", ""Week 3: Advanced Scrum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scrum""]"
Data Scientist,Data Analysis,"[""Week 1: Introduction to Data Analysis Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Analysis"", ""Week 3: Advanced Data Analysis Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Analysis""]"
Mobile App Developer,Express.js,"[""Week 1: Introduction to Express.js Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Express.js"", ""Week 3: Advanced Express.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Express.js""]"
Customer Success Manager,CSS,"[""Week 1: Introduction to CSS Fundamentals & Setup for Customer Success Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in CSS"", ""Week 3: Advanced CSS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using CSS""]"
Game Developer,Deep Learning,"[""Week 1: Introduction to Deep Learning Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Deep Learning"", ""Week 3: Advanced Deep Learning Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Deep Learning""]"
UI/UX Designer,Tableau,"[""Week 1: Introduction to Tableau Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Tableau"", ""Week 3: Advanced Tableau Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Tableau""]"
Digital Marketer,Flask,"[""Week 1: Introduction to Flask Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Flask"", ""Week 3: Advanced Flask Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Flask""]"
Database Administrator,Penetration Testing,"[""Week 1: Introduction to Penetration Testing Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Penetration Testing"", ""Week 3: Advanced Penetration Testing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Penetration Testing""]"
IT Support Specialist,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Site Reliability Engineer,Cybersecurity,"[""Week 1: Introduction to Cybersecurity Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cybersecurity"", ""Week 3: Advanced Cybersecurity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cybersecurity""]"
QA Engineer,Terraform,"[""Week 1: Introduction to Terraform Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Terraform"", ""Week 3: Advanced Terraform Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Terraform""]"
UI/UX Designer,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for UI/UX Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Graphic Designer,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Sales Executive,Figma,"[""Week 1: Introduction to Figma Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Figma"", ""Week 3: Advanced Figma Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Figma""]"
Legal Advisor,CSS,"[""Week 1: Introduction to CSS Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in CSS"", ""Week 3: Advanced CSS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using CSS""]"
Frontend Developer,Network Security,"[""Week 1: Introduction to Network Security Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Network Security"", ""Week 3: Advanced Network Security Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Network Security""]"
Data Engineer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Accountant,SQL,"[""Week 1: Introduction to SQL Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in SQL"", ""Week 3: Advanced SQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using SQL""]"
IT Support Specialist,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
Security Analyst,PostgreSQL,"[""Week 1: Introduction to PostgreSQL Fundamentals & Setup for Security Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PostgreSQL"", ""Week 3: Advanced PostgreSQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PostgreSQL""]"
Data Analyst,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Marketing Specialist,Rust,"[""Week 1: Introduction to Rust Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Rust"", ""Week 3: Advanced Rust Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Rust""]"
SEO Specialist,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for SEO Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
Video Editor,Computer Vision,"[""Week 1: Introduction to Computer Vision Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Computer Vision"", ""Week 3: Advanced Computer Vision Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Computer Vision""]"
Data Scientist,Agile,"[""Week 1: Introduction to Agile Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Agile"", ""Week 3: Advanced Agile Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Agile""]"
Blockchain Developer,Node.js,"[""Week 1: Introduction to Node.js Fundamentals & Setup for Blockchain Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Node.js"", ""Week 3: Advanced Node.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Node.js""]"
Marketing Specialist,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for Marketing Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
Data Analyst,TensorFlow,"[""Week 1: Introduction to TensorFlow Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TensorFlow"", ""Week 3: Advanced TensorFlow Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TensorFlow""]"
IT Support Specialist,Ansible,"[""Week 1: Introduction to Ansible Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ansible"", ""Week 3: Advanced Ansible Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ansible""]"
Data Analyst,Ethereum,"[""Week 1: Introduction to Ethereum Fundamentals & Setup for Data Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Ethereum"", ""Week 3: Advanced Ethereum Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Ethereum""]"
Frontend Developer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Operations Manager,PyTorch,"[""Week 1: Introduction to PyTorch Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in PyTorch"", ""Week 3: Advanced PyTorch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using PyTorch""]"
Financial Analyst,UX Design,"[""Week 1: Introduction to UX Design Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in UX Design"", ""Week 3: Advanced UX Design Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using UX Design""]"
Digital Marketer,ASP.NET,"[""Week 1: Introduction to ASP.NET Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in ASP.NET"", ""Week 3: Advanced ASP.NET Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using ASP.NET""]"
HR Manager,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Video Editor,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Digital Marketer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Full Stack Developer,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Mobile App Developer,Scikit,"[""Week 1: Introduction to Scikit Fundamentals & Setup for Mobile App Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Scikit"", ""Week 3: Advanced Scikit Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Scikit""]"
Backend Developer,Adobe XD,"[""Week 1: Introduction to Adobe XD Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Adobe XD"", ""Week 3: Advanced Adobe XD Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Adobe XD""]"
AI Researcher,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Accountant,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Accountant"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
Site Reliability Engineer,Python,"[""Week 1: Introduction to Python Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Python"", ""Week 3: Advanced Python Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Python""]"
